lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Bolivia,27.9,23.5,32.7,-4.5,-5.4,-3.6,0.28,0.25,0.32,0.19,0.16,0.22,63.8,61.9,65.6,68.8,66.7,70.5,66.2,64.1,67.9,120.9,106.4,139.9,0.6,0.5,0.7,39756.121428692386,53150.91185374856
Ecuador,13.7,10.5,17.9,-4.3,-5.7,-2.9,0.19,0.16,0.22,0.1,0.09,0.12,71,69,73.1,77.1,75.5,78.7,74,72.1,75.7,123.9,107.3,143.3,0.5,0.4,0.5,50086.491228761784,37572.547168461235
Peru,14,9.5,19.1,-5.2,-7,-3.6,0.21,0.19,0.24,0.12,0.11,0.14,68.8,67.3,70.1,74.9,73.4,76.3,71.6,70.2,73,319.9,289,356.6,1.2,1,1.3,130356.79086418012,155381.70687101077
Caribbean,40.8,33.9,48.8,-1.1,-2,-0.3,0.23,0.2,0.25,0.15,0.13,0.17,66.9,64.9,68.7,72.5,70.7,74.1,69.6,67.7,71.3,488.1,439.5,541.2,2.6,2.4,2.9,20820.82856286383,106672.88277353662
Antigua and Barbuda,9.3,8,10.7,-1.9,-2.8,-0.8,0.14,0.13,0.14,0.09,0.09,0.1,73,72.7,73.3,77.1,76.7,77.3,75,74.8,75.1,0.7,0.7,0.7,0,0,0,-52.082300135218816,32.77403475516281
The Bahamas,10.2,7.8,13.5,-2.2,-3.5,-0.6,0.29,0.25,0.33,0.16,0.14,0.19,66.1,63.7,68.2,73.6,71.7,75.4,69.8,67.5,71.8,3.8,3.3,4.4,0,0,0,520.259260842068,1166.2468258824877
Barbados,11.7,8.2,16.3,-1.1,-2.6,0.5,0.14,0.11,0.17,0.1,0.08,0.12,74.4,71.8,76.8,77.6,75.5,79.7,76,73.7,78.3,3.3,2.8,3.9,0,0,0,-337.08287760708816,-234.22745048708717
Belize,14.4,11.9,17.5,-3.5,-4.5,-2.4,0.21,0.19,0.23,0.13,0.12,0.14,70.5,69,72.3,76.1,74.9,77.3,73.2,71.8,74.7,2.3,2.1,2.6,0,0,0,146.5878679642518,416.87568129945015
Bermuda,3.8,3.2,4.5,-1.9,-3,-0.7,0.13,0.11,0.14,0.06,0.05,0.07,75.6,73.9,77.1,83.3,81.5,84.7,79.3,77.5,80.8,0.7,0.7,0.9,0,0,0,-1.4340870809173805,146.83259303373424
Cuba,4.6,3.9,5.3,-3,-3.7,-2.2,0.19,0.17,0.2,0.1,0.09,0.11,70.9,69.9,72.1,77.3,76.3,78.3,73.9,73,74.9,164.6,151.3,177.9,0.1,0.1,0.1,1329.484043414369,55053.52222970172
